4x9e:A:A1	A_A H69 H117 D268
4no4:A:A1	A_A T71 E72 Q73
3ffu:A:A1_A2_A3	A_A E70 E73:A_A E70 E73 E74:A_A G54 E74
4qko:D:D1	D_D H656 H681 H685
3t1r:A:A1	A_A E84 D97
4gt8:A:A1	A_A E259 N263
1mms:A:A1	A_A K103 E106
4hv6:B:B1	B_B E99 E102
3f1t:B:B1	B_B T110 P111 N112
2ale:A:A1	A_A D73 H132
2h5n:A:A1	A_A V29 D32 K34
4xgq:A:A1	A_A D4 T5 E40 G98 D99
4ghl:A:A1	A_A K287 E320
2q9p:A:A1_A2	A_A E66 E70:A_A G50 G51 E70
3akm:A:A1	A_A R106 Q115 Y117
4qql:C:A3_B3_C1	C_A D87 A88:C_B D93 Y94:C_C D72 D114
2vbu:A:A1	A_A T43 N45
1i94:L:L1_L2_L3	L_L K123 K124 P125:L_L F32 R33:L_L T131 A132 A133
3lgh:A:A1	A_A D73 H75 H105
4e7o:B:B1	B_B D8 Q9 D53 E55
3c22:A:A1	A_A Y208 S210 L211 I212
2oiw:A:A1	A_A S11 T13
4i45:A:A1	A_A H51 D125
3vcz:B:B1	B_B D80 N82
4cry:B:B1	B_B T72 R73 R74 R75 G76 V77
3l9b:A:A1	A_A E46 T47
2f4v:M:M1	M_M T20 I22 I25
2zsc:A:A1	A_A V41 Y42 V43 Y45 N71
4eoy:C:C1	C_C R35 L41 P42 I43 Y118
4pj2:B:B1	B_B L29 P30 S31 K91 Q92 P93
2gsl:A:A1	A_A D23 Q57 E103
1fvu:B:B1	B_B S441 E447 E522
3s5e:A:A1	A_A A114 K116 T119
2pjp:A:A1	A_A K581 I584
4tsh:A:B1	A_B A60 N62
1w0n:A:A1	A_A Y40 D121
3hdg:A:A1	A_A E15 D16 D59
3bwl:B:B1	B_B E424 V425 E437
1jj2:S:S1	S_S Q37 R111 L112 S114 D117
3rfe:A:A1	A_A W21 T43
2iii:A:A1	A_A D19 D22 D26
3oto:K:A1	K_A N26 G52
2obb:A:A1	A_A D6 D8 D94
4qbl:A:A1	A_A E10 D73 E89 I90
2i5r:B:B1	B_B D58 D60
3opk:C:C1	C_C P12 E13 A14 V99
4wcw:D:D1	D_D S32 L35 V36 I37 T38 D39
3k1e:B:B1	B_B H77 L80 P81 D82
2ejq:B:B1	B_B L76 E77 A79
3uul:A:A1	A_A L382 S383 D384 E387
4e4s:F:F1	F_F E16 D32
2yxh:A:A1_A2	A_A E34 D60:A_A E34 E37 E53 D56
3mhy:B:B1	B_B Q39 G87
1xed:A:A1	A_A H112 H115
5d5g:B:A1_B1_B2_B3	B_A Y101 G102 P103:B_B N6 N7 T22:B_B V89 L90 I91 V99 I100 Y101:B_B I91 L92 R93 F97 A98 V99
4bhq:A:A1	A_A G154 T192
1vm9:A:A1	A_A D96 D97
5a76:A:A1	A_A E1123 N1131
1b8c:A:A1	A_A D90 D92 D94 K96 D101
1xqa:A:A1	A_A H62 E109
3d6w:A:A1	A_A N175 I177 D193
1ou8:A:A1	A_A A56 T59
2h28:A:A1_B1	A_A L82 H86 H88 D102 T103:A_B W19 R51
1cmc:A:A1	A_A H14 E19 Y104
4ba9:F:F1	F_F D1230 D1234
1i94:Q:Q1_Q2	Q_Q E24 R25 Q26 K37 R38:Q_Q S66 K67 R68 K69
3bs1:A:A1	A_A S190 D193 D194 F196
1vtn:C:C1	C_C L171 S172 N174 F177
3bbx:U:U1	U_U G83 F84 R85
4dr2:F:F1	F_F N73 R80
3gxy:A:A1	A_A S38 Q50
2od0:A:A1_B1	A_A R48 Q51:A_B P4 L6 K7
3bbx:T:T1	T_T I43 V58 V85
2oy3:A:A1	A_A D449 D451 D454 V485 N486
1ibl:J:J1	J_J K57 R60
1nlq:E:A1	E_A D16 L90
3g1c:A:A1	A_A R45 T71 R74
3cq3:A:A1	A_A T88 R91
5d5v:B:B1	B_B L25 V26 D28 T31 D32 I35
1iw7:E:E1	E_E E90 Y93
5ds5:F:B2	F_B R78 V89
2q5z:A:A1	A_A E30 E33 E58 D61
4qbo:A:A1	A_A E4 D32 E45 V46
1jj2:2:21	2_2 G45 G47 D49
1v98:A:A1	A_A D78 H79 E130
3ktw:A:A1	A_A E9 R11 I54
3ic4:A:A1_A2	A_A V68 L69 K75:A_A K66 H67
3fdo:A:A1_A2_A3_B1	A_A Q43 Y55:A_A Y99 R103:A_A E45 M46:A_B M53 H54
2i89:B:B1	B_B V61 G62
3bpd:A:A1_A2_A3	A_A D10 H75:A_A E41 D43:A_A E41 D43 N48
2xdg:A:A1	A_A M0 D80
4h9d:B:B1	B_B A34 R35
3x0e:A:A1_A2	A_A Q133 A140 N142 A143:A_A N142 A143
1i94:P:P1	P_P K27 R28 D29
2x1a:A:A1	A_A S24 G60
3o2e:A:A1	A_A I65 H66
4xco:A:A1	A_A K69 G70
2icp:A:A1	A_A I33 A34 T37
2pls:G:G1_H1	G_G D413 D415:G_H D413 D415 D420
4cn2:C:A1_C1_C2_C3	C_A G144 K145 H146:C_C D140 C152 E153 G154 R184:C_C L196 G199 M200 K201:C_C D140 K181 R184
3g1b:B:B1	B_B R42 L44 E117
2p06:A:A1	A_A E47 E50 E66 D69
2dsy:B:B1	B_B D25 E26
1ig5:A:A1	A_A D54 N56 D58 E60
1jj2:Y:A1	Y_A R13 F14
3n8b:A:A1	A_A T19 E20 S21
3t6r:A:A1	A_A D334 D356
4a48:B:B1	B_B D58 R62
4cvo:A:A1	A_A D114 H118
3jam:f:f1	f_f Y85 T87
1mog:A:A1	A_A E14 E51
4j6w:A:A1	A_A D9 F39 D40 K56
2p4p:B:B1	B_B D66 T67 E68
2x7a:I:I1	I_I L137 N141
4mn3:A:A1	A_A E2 H41
3vh7:E:E1	E_E A561 H564
1lp1:B:B1	B_B N23 E25
3ld0:D:D1	D_D I51 E53
4pjo:l:l1	l_l E32 N33 D36
3omy:B:B1	B_B A31 N35 V36
5e4x:A:A1	A_A D345 S347
3bsu:A:A1	A_A F40 E45
3bbx:2:21_22	2_2 R3 T4 F5:2_2 M1 K2 R3
4wfa:Z:Z1	Z_Z N14 R17
1kjy:B:B1	B_B S510 H513 R516
